#marker	uniprot_id	protein	gene	organism	length	go_terms	go_slim_terms
p0306	A0A174KTL0	Dipeptide transport system permease protein dppB	dppB	Collinsella aerofaciens	345	GO:0005886,GO:0016020,GO:0016021	GO:0005575,GO:0005886
p0307	A0A0L0M899	Branched-chain amino acid transport ATP-binding protein LivG	BSCH_01633c	Candidatus Paraburkholderia schumannianae	571	GO:0000166,GO:0005524,GO:0016020,GO:0016021,GO:0016887	GO:0003674,GO:0005575,GO:0016887,GO:0043167
p0308	Q9RV96	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	hemE	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	344	GO:0004853,GO:0005737,GO:0005829,GO:0006779,GO:0006782,GO:0006783,GO:0016829,GO:0016831	GO:0005737,GO:0005829,GO:0009058,GO:0016829,GO:0034641,GO:0051186
p0309	C3WCJ5	ATP-dependent protease ATPase subunit HslU	hslU	Fusobacterium mortiferum ATCC 9817	437	GO:0000166,GO:0005524,GO:0005737,GO:0006508,GO:0008233,GO:0009376,GO:0016887,GO:0070011	GO:0003674,GO:0005737,GO:0005829,GO:0008150,GO:0008233,GO:0016887,GO:0032991,GO:0043167
p0310	P75510	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS	Mycoplasma pneumoniae (strain ATCC 29342 / M129)	346	GO:0000166,GO:0004812,GO:0004830,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006436,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0311	E0TBG7	Phosphate acyltransferase (EC 2.3.1.n2) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX	Parvularcula bermudensis (strain ATCC BAA-594 / HTCC2503 / KCTC 12087)	364	GO:0003824,GO:0005737,GO:0006629,GO:0006633,GO:0006644,GO:0008654,GO:0016740,GO:0016747	GO:0003674,GO:0005737,GO:0006629,GO:0009058,GO:0016746
p0312	Q6KZG3	Cytochrome c oxidase polypeptide I/III (EC 1.9.3.1)	PTO1304	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828)	841	GO:0004129,GO:0009060,GO:0015002,GO:0016020,GO:0016021,GO:0016491,GO:0020037,GO:0022900,GO:0055114,GO:1902600	GO:0003674,GO:0005575,GO:0006091,GO:0006810,GO:0008150,GO:0016491,GO:0022857
p0313	Q2JK96	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS	Synechococcus sp. (strain JA-2-3B'a(2-13)) (Cyanobacteria bacterium Yellowstone B-Prime)	598	GO:0000166,GO:0004812,GO:0004814,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006420,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0314	Q2JGE8	Cytochrome bd quinol oxidase subunit 1 apoprotein (EC 1.10.3.-)	Francci3_0256	Frankia casuarinae (strain DSM 45818 / CECT 9043 / CcI3)	555	GO:0009055,GO:0016020,GO:0016021,GO:0016491,GO:0019646,GO:0055114	GO:0005575,GO:0006091,GO:0008150,GO:0016491
p0315	Q8P6C8	ABC transporter ATP-binding protein	yheS	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	638	GO:0000166,GO:0003677,GO:0005524,GO:0016887	GO:0003674,GO:0003677,GO:0016887,GO:0043167
p0316	B3DVZ8	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS	Methylacidiphilum infernorum (isolate V4) (Methylokorus infernorum (strain V4))	580	GO:0000166,GO:0004812,GO:0004814,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006420,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0317	Q6A763	DNA polymerase IV (Pol IV) (EC 2.7.7.7)	dinB	Cutibacterium acnes (strain DSM 16379 / KPA171202) (Propionibacterium acnes)	465	GO:0003677,GO:0003684,GO:0003887,GO:0005737,GO:0006260,GO:0006281,GO:0006974,GO:0016740,GO:0016779,GO:0046872,GO:0071897	GO:0003674,GO:0003677,GO:0005737,GO:0006259,GO:0006950,GO:0009058,GO:0016779,GO:0043167
p0318	Q1N4C1	Bifunctional protein	RED65_14647	Bermanella marisrubri	483	GO:0000271,GO:0005976,GO:0009058,GO:0016779	GO:0005975,GO:0009058,GO:0016779
p0319	B9KXA3	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	kdsA	Rhodobacter sphaeroides (strain KD131 / KCTC 12085)	669	GO:0003824,GO:0005737,GO:0008152,GO:0008676,GO:0009058,GO:0009103,GO:0016740,GO:0019294	GO:0003674,GO:0005737,GO:0005975,GO:0006629,GO:0008150,GO:0009058,GO:0016765
p0320	F6B779	Molybdopterin-guanine dinucleotide biosynthesis protein B	Desca_1656	Desulfotomaculum nigrificans (strain DSM 14880 / VKM B-2319 / CO-1-SRB) (Desulfotomaculum carboxydivorans)	414	GO:0005525,GO:0006777	GO:0006464,GO:0009058,GO:0016829,GO:0043167,GO:0051186
p0321	C8X0E3	Magnesium transporter MgtE	Dret_0471	Desulfohalobium retbaense (strain ATCC 49708 / DSM 5692 / JCM 16813 / HR100)	482	GO:0005886,GO:0006812,GO:0008324,GO:0015095,GO:0015693,GO:0016020,GO:0016021,GO:0046872	GO:0005575,GO:0005886,GO:0006810,GO:0022857,GO:0043167
p0322	Q0IAN3	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS	Synechococcus sp. (strain CC9311)	719	GO:0000166,GO:0004812,GO:0004820,GO:0005524,GO:0005737,GO:0006412,GO:0006426,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0323	A0A098B4X2	Para-aminobenzoate synthase component 1 (EC 2.6.1.85) (EC 4.1.3.27)	DPCES_3526	Desulfitobacterium hafniense (Desulfitobacterium frappieri)	740	GO:0004049,GO:0008152,GO:0008483,GO:0009058,GO:0009396,GO:0016740,GO:0016829,GO:0046820	GO:0003674,GO:0008150,GO:0009058,GO:0016829,GO:0034641,GO:0051186
p0324	E8RB55	H(+)-transporting two-sector ATPase (EC 3.6.3.14)	Despr_1545	Desulfobulbus propionicus (strain ATCC 33891 / DSM 2032 / 1pr3)	672	GO:0006812,GO:0008324,GO:0016020,GO:0016021,GO:0016787	GO:0003674,GO:0005575,GO:0006810,GO:0022857
p0325	F0GW18	Oligopeptide ABC transporter, ATP-binding protein AppF	appF	Anaerococcus prevotii ACS-065-V-Col13	539	GO:0000166,GO:0005524,GO:0015833,GO:0016887	GO:0003674,GO:0006810,GO:0016887,GO:0043167
p0326	Q9I5Y1	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	fba	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	354	GO:0003824,GO:0004332,GO:0005975,GO:0006096,GO:0008270,GO:0016829,GO:0016832,GO:0046872	GO:0003674,GO:0005975,GO:0006091,GO:0009058,GO:0016301,GO:0016491,GO:0016829,GO:0016853,GO:0034655,GO:0043167,GO:0051186
p0327	E4L9D1	23S rRNA (Uracil-5-)-methyltransferase RumA (EC 2.1.1.-)	rumA	Dialister microaerophilus UPII 345-E	545	GO:0001510,GO:0003723,GO:0006396,GO:0008168,GO:0008173,GO:0016740	GO:0003674,GO:0003723,GO:0008168,GO:0034641
p0328	A3ZZT6	TRK potassium uptake system protein (TrkH)	DSM3645_16345	Blastopirellula marina DSM 3645	518	GO:0006812,GO:0008324,GO:0016020,GO:0016021	GO:0005575,GO:0006810,GO:0022857
p0329	M0F0U8	Peptide ABC transporter ATPase	C466_07530	Halorubrum distributum JCM 10118	849	GO:0000166,GO:0005524,GO:0015833,GO:0016887	GO:0003674,GO:0006810,GO:0016887,GO:0043167
p0330	E7H619	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	glnS	Sutterella wadsworthensis 3_1_45B	689	GO:0000166,GO:0004812,GO:0004819,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006424,GO:0016874,GO:0043039	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0331	Q1D047	Peptidase, U32 family (EC 3.4.-.-)	MXAN_5839	Myxococcus xanthus (strain DK 1622)	878	GO:0006508,GO:0008233,GO:0016787	GO:0003674,GO:0008150,GO:0008233
p0332	E1R461	Aminotransferase class I and II	Spirs_1356	Sediminispirochaeta smaragdinae (strain DSM 11293 / JCM 15392 / SEBR 4228) (Spirochaeta smaragdinae)	394	GO:0003824,GO:0008483,GO:0009058,GO:0016740,GO:0030170	GO:0003674,GO:0009058,GO:0043167
p0333	C7H0J8	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II	GCWU000322_00769	Eubacterium saphenum ATCC 49989	651	GO:0005975,GO:0016868	GO:0005975,GO:0016853
p0334	A6UTR7	ABC transporter related	Maeo_0301	Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3)	386	GO:0000166,GO:0005524,GO:0016887,GO:0022857,GO:0043190	GO:0003674,GO:0005886,GO:0016887,GO:0022857,GO:0032991,GO:0043167
p0335	A3NR08	Carboxyl-terminal protease (EC 3.4.21.-)	BURPS1106A_0496	Burkholderia pseudomallei (strain 1106a)	530	GO:0006508,GO:0008233,GO:0008236,GO:0016787	GO:0003674,GO:0008150,GO:0008233
p0336	B3QVC1	Multi-sensor hybrid histidine kinase (EC 2.7.13.3)	Ctha_0605	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	1629	GO:0000155,GO:0000160,GO:0004673,GO:0004871,GO:0005622,GO:0007165,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0018106	GO:0003674,GO:0004871,GO:0005622,GO:0006464,GO:0007165,GO:0008150,GO:0016301
p0337	D3SBS0	Dihydroorotate dehydrogenase (DHOD) (DHODase) (DHOdehase) (EC 1.3.-.-)	pyrD	Thioalkalivibrio sp. (strain K90mix)	330	GO:0003824,GO:0004152,GO:0005737,GO:0006207,GO:0006221,GO:0006222,GO:0016491,GO:0016627,GO:0055114	GO:0003674,GO:0005737,GO:0008150,GO:0009058,GO:0016491,GO:0034641
p0338	B4SDJ5	Cyclic nucleotide-regulated ABC bacteriocin/lantibiotic exporter	Ppha_0635	Pelodictyon phaeoclathratiforme (strain DSM 5477 / BU-1)	1016	GO:0000166,GO:0005524,GO:0006508,GO:0008233,GO:0016020,GO:0016021,GO:0016887,GO:0042626	GO:0003674,GO:0005575,GO:0008150,GO:0008233,GO:0016887,GO:0022857,GO:0043167
p0339	A9FDP5	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA	Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56))	529	GO:0006779,GO:0006782,GO:0008883,GO:0016491,GO:0055114	GO:0008150,GO:0009058,GO:0016491,GO:0034641,GO:0051186
p0340	F5WRF2	Uracil permease	uraA	Erysipelothrix rhusiopathiae (strain Fujisawa)	438	GO:0005215,GO:0015210,GO:0015857,GO:0016020,GO:0016021,GO:0022857	GO:0003674,GO:0005575,GO:0006810,GO:0022857
p0341	Q5WAW3	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	ABC3966	Bacillus clausii (strain KSM-K16)	557	GO:0003824,GO:0004514,GO:0004516,GO:0009435,GO:0016740,GO:0016757,GO:0016874,GO:0019358,GO:0019363	GO:0003674,GO:0009058,GO:0016757,GO:0016874,GO:0034641,GO:0051186
p0342	A0A173X7J6	Type II secretion system protein E	pilT	Bifidobacterium adolescentis	600	GO:0005524	GO:0043167
p0343	B2A0U9	L-aspartate oxidase (EC 1.4.3.16)	Nther_2414	Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF)	604	GO:0005737,GO:0008734,GO:0009435,GO:0016491,GO:0055114	GO:0005737,GO:0008150,GO:0009058,GO:0016491,GO:0034641,GO:0051186
p0344	Q6MBS3	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY	Protochlamydia amoebophila (strain UWE25)	410	GO:0005886,GO:0007049,GO:0008360,GO:0008963,GO:0009252,GO:0016020,GO:0016021,GO:0016740,GO:0051301,GO:0051992,GO:0071555	GO:0000902,GO:0003674,GO:0005575,GO:0005886,GO:0007049,GO:0009058,GO:0051301,GO:0071554
p0345	E8QXB3	Type III secretion FHIPEP protein	Isop_1369	Isosphaera pallida (strain ATCC 43644 / DSM 9630 / IS1B)	800	GO:0009306,GO:0016020,GO:0016021	GO:0005575,GO:0006810
p0346	B0VFP4	Thymidine phosphorylase (EC 2.4.2.4)	deoA	Cloacimonas acidaminovorans (strain Evry)	439	GO:0004645,GO:0006206,GO:0006213,GO:0008152,GO:0009032,GO:0016154,GO:0016740,GO:0016757,GO:0016763	GO:0003674,GO:0008150,GO:0016757,GO:0034641
p0347	A0A1B9EJT3	Putative glycosyltransferase CsbB (EC 2.4.-.-)	csbB	Streptomyces sp. PTY087I2	498	GO:0000271,GO:0016020,GO:0016021,GO:0016740,GO:0016757	GO:0003674,GO:0005575,GO:0005975,GO:0009058,GO:0016757
p0348	Q1IIG7	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG	Koribacter versatilis (strain Ellin345)	345	GO:0005524,GO:0005886,GO:0006754,GO:0006811,GO:0015986,GO:0016020,GO:0016787,GO:0042777,GO:0045261,GO:0046933	GO:0003674,GO:0005575,GO:0005622,GO:0005886,GO:0006810,GO:0009058,GO:0016887,GO:0022857,GO:0032991,GO:0034641,GO:0043167
p0349	C5ZY19	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)	HCAN_1329	Helicobacter canadensis MIT 98-5491	1047	GO:0000166,GO:0003924,GO:0004781,GO:0005524,GO:0005525,GO:0006790,GO:0006813,GO:0008324,GO:0016020,GO:0016021,GO:0016740,GO:0016779	GO:0003674,GO:0003924,GO:0005575,GO:0006790,GO:0006810,GO:0016779,GO:0022857,GO:0043167
p0350	B8J115	Methionine import ATP-binding protein MetN (EC 3.6.3.-)	metN	Desulfovibrio desulfuricans (strain ATCC 27774 / DSM 6949)	348	GO:0000166,GO:0005524,GO:0005886,GO:0006865,GO:0015424,GO:0015821,GO:0016020,GO:0016787,GO:0016887,GO:0042626	GO:0003674,GO:0005575,GO:0005886,GO:0006810,GO:0016887,GO:0022857,GO:0043167
p0351	A0A2C9D6H4	Bicarbonate transport ATP-binding protein CmpD (EC 3.6.3.-)	cmpD_1	Hartmannibacter diazotrophicus	571	GO:0000166,GO:0005524,GO:0015112,GO:0015706,GO:0016020,GO:0016787,GO:0016887	GO:0003674,GO:0005575,GO:0006810,GO:0016887,GO:0022857,GO:0043167
p0352	B5JFF7	Aldehyde dehydrogenase (NAD) family protein	VDG1235_506	Verrucomicrobiae bacterium DG1235	1218	GO:0003700,GO:0003842,GO:0004657,GO:0006355,GO:0008152,GO:0010133,GO:0016491,GO:0016620,GO:0055114	GO:0003700,GO:0006520,GO:0008150,GO:0009056,GO:0009058,GO:0016491,GO:0034641
p0353	D1CEK7	Diguanylate cyclase/phosphodiesterase with PAS/PAC and GAF sensor(S)	Tter_0442	Thermobaculum terrenum (strain ATCC BAA-798 / YNP1)	1785	GO:0000155,GO:0000160,GO:0005622,GO:0006355	GO:0004871,GO:0005622,GO:0006464,GO:0007165,GO:0009058,GO:0016301,GO:0034641
p0354	Q2SBC1	tRNA dimethylallyltransferase 2 (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase 2) (DMAPP:tRNA dimethylallyltransferase 2) (DMATase 2) (Isopentenyl-diphosphate:tRNA isopentenyltransferase 2) (IPP transferase 2) (IPPT 2) (IPTase 2)	miaA2	Hahella chejuensis (strain KCTC 2396)	332	GO:0000166,GO:0005524,GO:0008033,GO:0016740	GO:0003674,GO:0006399,GO:0043167
p0355	B3Q296	Type III secretion system ATP synthase protein (EC 3.6.3.14)	hrcN	Rhizobium etli (strain CIAT 652)	439	GO:0005524,GO:0005737,GO:0009058,GO:0016787,GO:0016887,GO:0030254,GO:0030257,GO:0046034,GO:1902600	GO:0003674,GO:0005623,GO:0005737,GO:0006810,GO:0009058,GO:0016887,GO:0032991,GO:0034641,GO:0043167
p0356	D2R6F2	KpsF/GutQ family protein (EC 5.3.1.13)	Psta_0845	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	365	GO:0005975,GO:0016853,GO:0019146,GO:0046872	GO:0005975,GO:0016853,GO:0043167
p0357	E3FQE0	NADH-quinone oxidoreductase subunit N (EC 1.6.5.11) (NADH dehydrogenase I subunit N) (NDH-1 subunit N)	nuoN	Stigmatella aurantiaca (strain DW4/3-1)	519	GO:0005886,GO:0008137,GO:0016020,GO:0016021,GO:0016491,GO:0042773,GO:0048038,GO:0050136,GO:0055114	GO:0003674,GO:0005575,GO:0005886,GO:0006091,GO:0006810,GO:0008150,GO:0009058,GO:0016491,GO:0034641
p0358	Q0BIN0	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung	Burkholderia ambifaria (strain ATCC BAA-244 / AMMD) (Burkholderia cepacia (strain AMMD))	304	GO:0004844,GO:0005737,GO:0006281,GO:0006284,GO:0006974,GO:0008152,GO:0016787,GO:0016798,GO:0016799	GO:0003674,GO:0005737,GO:0006259,GO:0006950,GO:0008150,GO:0016798
p0359	D4JBU7	Porphobilinogen deaminase	CC1_32790	Coprococcus catus GD/7	799	GO:0004418,GO:0004852,GO:0008152,GO:0008168,GO:0016740,GO:0019354,GO:0055114	GO:0003674,GO:0008150,GO:0008168,GO:0009058,GO:0016765,GO:0016829,GO:0034641,GO:0051186
p0360	A0A193SKP9	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	wecB	Pseudomonas cerasi	416	GO:0008761,GO:0016853	GO:0016853
p0361	D5XCG5	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE	Thermincola potens (strain JR)	492	GO:0000166,GO:0000287,GO:0003824,GO:0004789,GO:0005524,GO:0008972,GO:0009228,GO:0009229,GO:0016301,GO:0016310,GO:0016740,GO:0046872	GO:0003674,GO:0006790,GO:0008150,GO:0009058,GO:0016301,GO:0016765,GO:0034641,GO:0043167,GO:0051186
p0362	A0A251X4J2	NADP-dependent isocitrate dehydrogenase	TPSD3_14250	Thioflexothrix psekupsii	588	GO:0000287,GO:0004450,GO:0006099,GO:0016616,GO:0055114	GO:0006091,GO:0008150,GO:0016491,GO:0043167
p0363	A3ZXH0	Alpha-ketoglutarate dehydrogenase E1	DSM3645_29701	Blastopirellula marina DSM 3645	929	GO:0004591,GO:0006099,GO:0008152,GO:0016624,GO:0055114	GO:0006091,GO:0008150,GO:0016491
p0364	B6JJI1	ABC transporter, branched-chain amino acid transport ATP-binding protein LivG	livG2	Oligotropha carboxidovorans (strain ATCC 49405 / DSM 1227 / KCTC 32145 / OM5)	599	GO:0000166,GO:0005524,GO:0005886,GO:0016020,GO:0016021,GO:0016887,GO:0022857	GO:0003674,GO:0005575,GO:0005886,GO:0016887,GO:0022857,GO:0043167
p0365	P00469	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA	Lactobacillus casei	316	GO:0004799,GO:0005737,GO:0006231,GO:0006235,GO:0008168,GO:0009165,GO:0016740	GO:0003674,GO:0005737,GO:0008168,GO:0009058,GO:0034641
p0366	E3DA53	Threonine synthase (EC 4.2.3.1)	thrC	Gardnerella vaginalis (strain ATCC 14019 / 317)	505	GO:0004795,GO:0006520,GO:0016829,GO:0030170	GO:0006520,GO:0016829,GO:0043167
p0367	Q3M5Z3	Phenylalanine ammonia-lyase (EC 4.3.1.24)	Ava_3988	Anabaena variabilis (strain ATCC 29413 / PCC 7937)	567	GO:0003824,GO:0004397,GO:0005737,GO:0009072,GO:0009698,GO:0009699,GO:0009800,GO:0016829,GO:0016841,GO:0051289	GO:0003674,GO:0005737,GO:0006520,GO:0009058,GO:0016829,GO:0019748,GO:0065003
p0368	B1I5Y3	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK	Desulforudis audaxviator (strain MP104C)	399	GO:0000166,GO:0004638,GO:0005524,GO:0006164,GO:0006189,GO:0016829,GO:0016874,GO:0046872	GO:0003674,GO:0009058,GO:0016829,GO:0016874,GO:0034641,GO:0043167
p0369	B3QT08	RNA polymerase, sigma 54 subunit, RpoN	Ctha_0180	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	517	GO:0003677,GO:0006352,GO:0006355,GO:0016987,GO:0045893	GO:0003677,GO:0009058,GO:0019899,GO:0034641,GO:0065003
p0370	D0D026	Nucleotide-binding protein CSE45_4173	CSE45_4173	Citreicella sp. SE45	453	GO:0000155,GO:0000160,GO:0000166,GO:0004672,GO:0005524,GO:0005525,GO:0005622,GO:0006109,GO:0006468	GO:0003674,GO:0004871,GO:0005622,GO:0005975,GO:0006464,GO:0007165,GO:0016301,GO:0043167
p0371	D0WKS3	Aminotransferase, class I/II (EC 2.6.1.-)	HMPREF0972_00374	Actinomyces sp. oral taxon 848 str. F0332	469	GO:0003824,GO:0008483,GO:0009058,GO:0016740,GO:0030170	GO:0003674,GO:0009058,GO:0043167
p0372	C4LD02	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE	Tolumonas auensis (strain DSM 9187 / TA4)	757	GO:0003871,GO:0008168,GO:0008270,GO:0008652,GO:0009086,GO:0016740,GO:0046872	GO:0003674,GO:0006520,GO:0006790,GO:0008168,GO:0009058,GO:0043167
p0373	A0A1D4PD75	Phosphoribosylaminoimidazolesuccinocarboxamide synthase (EC 6.3.4.18)	purK	Staphylococcus aureus	610	GO:0000166,GO:0004638,GO:0004639,GO:0005524,GO:0006164,GO:0006189,GO:0009236,GO:0016874,GO:0046872	GO:0003674,GO:0009058,GO:0016829,GO:0016874,GO:0034641,GO:0043167,GO:0051186
p0374	E4RIX0	Putative sigma54 specific transcriptional regulator	Halsa_1771	Halanaerobium hydrogeniformans (Halanaerobium sp. (strain sapolanicus))	847	GO:0000166,GO:0003677,GO:0005524,GO:0006351,GO:0006355,GO:0008134,GO:0046872	GO:0003674,GO:0003677,GO:0008134,GO:0009058,GO:0034641,GO:0043167
p0375	A0A1C5ULQ7	Probable multidrug resistance ABC transporter ATP-binding/permease protein YheH (EC 3.6.3.-)	yheH_3	uncultured Faecalibacterium sp.	768	GO:0000166,GO:0005524,GO:0016020,GO:0016021,GO:0016787,GO:0016887,GO:0042626	GO:0003674,GO:0005575,GO:0016887,GO:0022857,GO:0043167
p0376	Q8EK32	Nicotinamide-nucleotide amidohydrolase PncC (NMN amidohydrolase PncC) (EC 3.5.1.42) (NMN deamidase) (Nicotinamide-nucleotide amidase)	pncC	Shewanella oneidensis (strain MR-1)	424	GO:0003677,GO:0006259	GO:0003677,GO:0006259
p0377	Q5NHK5	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	pckA	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)	530	GO:0000166,GO:0004611,GO:0004612,GO:0005524,GO:0005737,GO:0006094,GO:0016301,GO:0016310,GO:0016829,GO:0016831,GO:0017076,GO:0046872	GO:0003674,GO:0005737,GO:0005975,GO:0008150,GO:0009058,GO:0016301,GO:0016829,GO:0043167
p0378	A9AYE5	ATPase AAA-2 domain protein	Haur_0879	Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785)	776	GO:0000166,GO:0005524,GO:0019538	GO:0003674,GO:0008150,GO:0043167
p0379	C6XQ80	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2)	Hbal_0903	Hirschia baltica (strain ATCC 49814 / DSM 5838 / IFAM 1418)	362	GO:0003824,GO:0004152,GO:0005737,GO:0006207,GO:0006221,GO:0016020,GO:0016491,GO:0016627,GO:0055114	GO:0003674,GO:0005575,GO:0005737,GO:0008150,GO:0009058,GO:0016491,GO:0034641
p0380	C7PU60	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	Cpin_1604	Chitinophaga pinensis (strain ATCC 43595 / DSM 2588 / NCIB 11800 / UQM 2034)	368	GO:0003824,GO:0004084,GO:0008152,GO:0008483,GO:0008652,GO:0009081,GO:0009082,GO:0016740	GO:0003674,GO:0006520,GO:0008150,GO:0009058
p0381	C8W3A0	Sulphate transporter	Dtox_0978	Desulfotomaculum acetoxidans (strain ATCC 49208 / DSM 771 / VKM B-1644)	580	GO:0008271,GO:0008272,GO:0015116,GO:0016020,GO:0016021	GO:0005575,GO:0006810,GO:0022857
p0382	Q8ZPK4	Osmoprotectant import ATP-binding protein OsmV (EC 3.6.3.-)	osmV	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	382	GO:0000166,GO:0005524,GO:0005886,GO:0016020,GO:0016787,GO:0016887	GO:0003674,GO:0005575,GO:0005886,GO:0016887,GO:0043167
p0383	E7H5S9	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	serC	Sutterella wadsworthensis 3_1_45B	368	GO:0003824,GO:0004648,GO:0005737,GO:0006564,GO:0008483,GO:0008615,GO:0008652,GO:0016740,GO:0030170	GO:0003674,GO:0005737,GO:0006520,GO:0009058,GO:0034641,GO:0043167,GO:0051186
p0384	A9GCJ8	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd2	Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56))	510	GO:0004616,GO:0006098,GO:0016491,GO:0019521,GO:0055114	GO:0005975,GO:0008150,GO:0016491,GO:0016853,GO:0034641,GO:0051186
p0385	A5TWX7	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme)	hisB/murF	Fusobacterium nucleatum subsp. polymorphum ATCC 10953	608	GO:0000166,GO:0005524,GO:0005737,GO:0005975,GO:0007049,GO:0008360,GO:0009058,GO:0009252,GO:0016311,GO:0016787,GO:0016791,GO:0016874,GO:0046872,GO:0047480,GO:0051301,GO:0071555	GO:0000902,GO:0003674,GO:0005737,GO:0005975,GO:0007049,GO:0008150,GO:0009058,GO:0016791,GO:0016874,GO:0043167,GO:0051301,GO:0071554
